Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'TWDH': 6, 'Minimal': 1}","[-12.0, -31.0, -19.0, 638.0, 91.54075625056542]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 2, 'Minimal': 5}","[-4.0, -15.0, -11.0, 338.0, 155.73343484991076]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 5, 'TWSH': 1, 'QWSH': 1, 'QWDH': 1}","[-22.0, -19.0, -24.0, 556.0, 93.72989966103069]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 3, 'Dragon': 2, 'QWDH': 1, 'TWSH': 2}","[-20.0, -28.0, -24.0, 751.0, 174.59255506983243]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,{'Dragon': 5},"[-10.0, -10.0, -15.0, 246.0, 35.0]","{<RobotState.ACTIVE: (0, 'green')>: 1, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'QWDH': 4, 'TWDH': 1, 'TWSH': 1}","[-21.0, -27.0, -18.0, 706.0, 102.27400882933637]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 6, 'Minimal': 2, 'QWSH': 1}","[-17.0, -16.0, -23.0, 455.0, 146.55945096907848]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'QWSH': 3, 'TWDH': 1, 'QWDH': 2}","[-25.0, -21.0, -18.0, 697.0, 171.57911201032815]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'QWSH': 2, 'Minimal': 3, 'TWSH': 1}","[-13.0, -9.0, -12.0, 400.0, 36.70820393249937]","{<RobotState.DEFECTIVE: (2, 'purple')>: 2, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'Dragon': 1, 'QWSH': 3, 'TWSH': 2}","[-23.0, -12.0, -18.0, 545.0, 117.41614445306732]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 3, 'Minimal': 5}","[-6.0, -20.0, -14.0, 468.0, 187.0785114911126]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,{'Dragon': 10},"[-20.0, -20.0, -30.0, 514.0, 54.27808959606491]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'Dragon': 3, 'TWSH': 2, 'QWSH': 1, 'Minimal': 1}","[-17.0, -13.0, -19.0, 456.0, 102.18515377930663]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 6, 'Dragon': 1, 'Minimal': 1}","[-14.0, -33.0, -22.0, 700.0, 96.54075625056542]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 3, 'QWDH': 1, 'Minimal': 1, 'Dragon': 1}","[-12.0, -23.0, -16.0, 491.0, 309.73026156353103]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 2, 'Minimal': 4, 'Dragon': 1}","[-6.0, -16.0, -13.0, 361.0, 150.73343484991076]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 2, 'TWSH': 1}","[-7.0, -14.0, -11.0, 408.0, 48.601470508735446]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 4, 'Minimal': 1}","[-8.0, -9.0, -13.0, 226.0, 25.0]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Minimal': 3, 'QWSH': 2}","[-10.0, -7.0, -9.0, 279.0, 18.605551275463988]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'TWDH': 4, 'Minimal': 2, 'Dragon': 1}","[-10.0, -24.0, -17.0, 469.0, 354.0684313441268]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'QWSH': 1, 'Minimal': 1, 'Dragon': 2, 'TWSH': 2}","[-15.0, -11.0, -16.0, 445.0, 25.30967444123481]","{<RobotState.DEFECTIVE: (2, 'purple')>: 2, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'Dragon': 4, 'QWSH': 3, 'TWDH': 1}","[-25.0, -19.0, -24.0, 647.0, 186.81450166797035]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 1, 'TWDH': 2}","[-6.0, -14.0, -11.0, 321.0, 37.20294101747089]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 1, 'Minimal': 2, 'QWSH': 2}","[-12.0, -8.0, -11.0, 326.0, 44.27400882933637]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 8, 'TWSH': 1, 'QWDH': 1}","[-23.0, -23.0, -30.0, 639.0, 193.67644681096797]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 8}"
Non-Dominated,"{'TWDH': 4, 'Dragon': 1, 'QWDH': 1}","[-14.0, -27.0, -18.0, 582.0, 379.31394483410213]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 5, 'Minimal': 3}","[-10.0, -28.0, -18.0, 570.0, 200.31711812048198]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'Dragon': 1, 'Minimal': 3, 'QWSH': 1}","[-7.0, -7.0, -9.0, 211.0, 54.27400882933637]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 4, 'Minimal': 2, 'Dragon': 1}","[-10.0, -24.0, -17.0, 489.0, 279.35287486795033]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Dragon': 4, 'TWDH': 4, 'Minimal': 1}","[-16.0, -29.0, -25.0, 666.0, 245.1358728315424]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 7, 'Minimal': 2}","[-14.0, -16.0, -23.0, 400.0, 137.59511658097693]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 6, 'QWSH': 2, 'Minimal': 1}","[-22.0, -17.0, -25.0, 529.0, 200.96533300402027]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 1}"
