Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'Dragon': 4, 'TWDH': 4, 'Minimal': 2}","[-16.0, -30.0, -26.0, 443.0, 99.76148450620059]","{<RobotState.DEFECTIVE: (2, 'purple')>: 9, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,{'Dragon': 5},"[-10.0, -10.0, -15.0, 181.0, 23.41640786499874]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 2, 'TWSH': 1}","[-7.0, -8.0, -11.0, 138.0, 28.41640786499874]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'QWDH': 2, 'TWDH': 2, 'TWSH': 1, 'Dragon': 1, 'QWSH': 1}","[-22.0, -26.0, -21.0, 512.0, 202.76157564177052]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 9, 'Minimal': 1}","[-18.0, -19.0, -28.0, 337.0, 68.54101966249685]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Minimal': 4, 'Dragon': 1}","[-2.0, -6.0, -7.0, 101.0, 0.0]","{<RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,"{'Dragon': 1, 'Minimal': 2, 'TWDH': 6}","[-14.0, -34.0, -23.0, 522.0, 93.00009113556992]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'QWDH': 2, 'Minimal': 2, 'TWDH': 1, 'QWSH': 1}","[-15.0, -19.0, -14.0, 382.0, 60.48747567686422]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'QWSH': 4, 'TWSH': 1, 'QWDH': 1}","[-27.0, -15.0, -18.0, 457.0, 120.79715011809903]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 3, 'Dragon': 1, 'TWSH': 1}","[-11.0, -19.0, -15.0, 297.0, 58.601470508735446]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 3, 'QWDH': 2}","[-8.0, -13.0, -9.0, 215.0, 15.0]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'QWDH': 2, 'TWDH': 2, 'Dragon': 1, 'TWSH': 1}","[-17.0, -24.0, -18.0, 397.0, 245.6975058260809]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWSH': 1, 'QWSH': 3, 'Minimal': 1, 'Dragon': 1}","[-20.0, -11.0, -16.0, 347.0, 74.99247517996127]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Minimal': 1, 'Dragon': 2, 'TWDH': 1, 'QWDH': 1}","[-10.0, -15.0, -13.0, 237.0, 0.0]","{<RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,"{'Dragon': 4, 'TWDH': 3, 'Minimal': 1, 'TWSH': 1}","[-17.0, -26.0, -25.0, 410.0, 178.67236604423942]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 4, 'TWDH': 4, 'Minimal': 1}","[-16.0, -29.0, -25.0, 434.0, 129.08142136556094]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 2, 'Minimal': 4, 'Dragon': 1}","[-6.0, -16.0, -13.0, 213.0, 124.5304938324399]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 8, 'Minimal': 1}","[-16.0, -17.0, -25.0, 307.0, 68.77927174436485]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Minimal': 1, 'Dragon': 4}","[-8.0, -9.0, -13.0, 144.0, 23.41640786499874]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'QWDH': 4, 'TWDH': 1, 'QWSH': 1}","[-23.0, -27.0, -18.0, 487.0, 141.10682455933383]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
